Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_rsi(14),Exit_rsi(14),Entry_SMA(20),Exit_SMA(20),Entry_SMA(50),Exit_SMA(50)
16,88,290,609.6237505039857,1140.7121509483654,,,8497.414407110076,0.8711740643393906,2020-05-13,2021-02-26,289 days,,57.44416269582231,41.07279364987435,583.1172088623047,1153.9755493164062,575.7680163574219,1154.9805322265624
14,301,339,1245.9291054949035,1192.713839738665,,,-745.0137205873393,-0.04271131119864202,2021-03-16,2021-05-14,59 days,,67.87835179801566,38.655855623361056,1179.0572692871094,1210.0515991210937,1177.5331762695312,1219.7836108398437
13,357,525,1284.2244311556549,1590.4029925740388,,,3980.32129843899,0.23841515080261955,2021-06-09,2022-02-09,245 days,,68.94147501673632,43.322113628546916,1237.3873291015625,1641.215887451172,1232.8285400390625,1651.2895043945311
12,553,575,1738.9019597552622,1445.7543224398846,,,-3517.7716477845306,-0.16858203860822374,2022-03-23,2022-04-26,34 days,,60.1829087458995,30.793207586705158,1639.8408264160157,1606.3415893554688,1633.500791015625,1620.594228515625
12,635,673,1390.7078923896215,1366.3908462433817,,,-291.8045537548778,-0.017485372937990906,2022-07-20,2022-09-15,57 days,,58.058049754921456,38.17408985984177,1362.979559326172,1394.096173095703,1357.7456713867186,1404.9583032226562
12,704,746,1454.4167894786017,1430.9575981689939,,,-281.510295715294,-0.016129620806988765,2022-11-01,2022-12-30,59 days,,71.2670521766129,41.041445671572426,1374.658135986328,1447.1378234863282,1360.6629223632813,1458.480986328125
11,775,796,1510.5124348701506,1349.4829529668243,,,-1771.3243009365895,-0.1066058631401926,2023-02-10,2023-03-14,32 days,,62.39970999760728,29.3716696683561,1456.0391845703125,1426.3945617675781,1442.3865478515625,1432.7697290039061
12,857,948,1239.8277526637962,1302.6940498987915,,,754.3955668199433,0.0507056702835742,2023-06-14,2023-10-26,134 days,,55.03566739170364,29.90684010899839,1221.080615234375,1370.2586242675782,1216.3382666015625,1375.4601538085938
11,974,1046,1409.1648194438199,1502.609375301751,,,1027.8901144372428,0.06631201302258782,2023-12-05,2024-03-20,106 days,,58.10041963945808,34.494935093963186,1372.6739318847656,1569.2484802246095,1368.2010668945313,1578.9923657226564
11,1099,1195,1462.583761115188,1820.3868971098545,,,3935.8344959413316,0.24463770589237877,2024-06-11,2024-10-29,140 days,,60.60644048876247,42.77317050122954,1403.0518188476562,1858.41123046875,1398.097177734375,1861.1771069335937
10,1221,1254,1905.9826538933166,1832.220432769354,,,-737.6222112396272,-0.03870036328677495,2024-12-06,2025-01-23,48 days,,58.63905797568475,44.48670391891134,1845.9571655273437,1878.5510620117188,1839.7963403320311,1881.9822924804687
