Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_rsi(14),Exit_rsi(14),Entry_SMA(20),Exit_SMA(20),Entry_SMA(50),Exit_SMA(50)
5,88,293,1850.8474133322081,2849.2174355873717,,,4991.850111275818,0.5394123875710151,2020-05-13,2021-03-03,294 days,,57.2823827808006,49.774595233779486,1730.2757446289063,2889.7934326171876,1713.8331860351564,2906.9923583984373
4,316,341,3069.8313340740924,2910.2377501882156,,,-638.3743355435072,-0.05198773695298564,2021-04-08,2021-05-18,40 days,,69.31998957713172,47.01095824353047,2941.896044921875,2911.8808349609376,2923.50666015625,2927.63455078125
4,360,394,3093.3384842543887,3006.4905857145654,,,-347.39159415929316,-0.028075782518432346,2021-06-14,2021-08-02,49 days,,70.50990591064858,50.537301908590464,2971.2236938476562,3036.837060546875,2962.201552734375,3048.1400732421876
4,405,452,3292.1070658148856,3310.1699038467605,,,72.25135212749956,0.005486710386620963,2021-08-17,2021-10-26,70 days,,83.06836792164154,32.201967353409515,3110.039514160156,3492.43125,3095.3633642578125,3525.51201171875
4,490,535,3393.6699054962855,3426.535366856599,,,131.4618454412539,0.009684342400857915,2021-12-21,2022-02-23,64 days,,54.54604992749123,34.43171176728153,3379.3027587890624,3555.2343017578123,3364.0014990234376,3569.3361962890626
3,564,579,3554.164818766096,3340.088603663923,,,-642.228645306518,-0.06023249512004736,2022-04-07,2022-05-02,25 days,,48.299426238075625,41.76566452664284,3508.6615234375,3446.725720214844,3500.7850537109375,3451.83046875
4,652,674,3267.1560099417848,2946.2840037050755,,,-1283.488024946837,-0.09821141239056619,2022-08-16,2022-09-16,31 days,,63.17853628764477,31.420975406650616,3126.369738769531,3056.8912719726563,3104.2027685546873,3082.0403759765627
3,706,748,3099.9233644038936,3122.9230801671274,,,68.99914728970134,0.007419446566756305,2022-11-03,2023-01-03,61 days,,58.85348921356658,53.95783959918198,3016.3762939453127,3150.9399169921876,2993.37087890625,3162.485625
3,765,798,3297.8347715421955,3087.989674499607,,,-629.535291127765,-0.06363117365775628,2023-01-27,2023-03-16,48 days,,59.44671001763706,31.210114580613254,3212.9014892578125,3235.1796875,3200.4658740234377,3260.194970703125
3,839,870,3089.9155300809934,3190.475014849056,,,301.6784543041881,0.03254441223039728,2023-05-19,2023-07-04,46 days,,49.53563032882814,59.60531489609616,3103.843884277344,3130.12109375,3091.127099609375,3132.8461279296876
3,874,954,3224.1742501458934,3296.7288050682514,,,217.6636647670739,0.02250329830004527,2023-07-10,2023-11-03,116 days,,52.251719523579936,37.15072597651518,3148.8722290039063,3376.3922607421873,3144.505947265625,3389.761220703125
3,978,1057,3531.554802215179,3891.550107626402,,,1079.9859162336702,0.10193677447265292,2023-12-11,2024-04-08,119 days,,69.98305360801812,48.1533677079723,3417.149072265625,3921.8995849609373,3394.3151171875,3929.062734375
3,1114,1178,3956.2479460232644,4167.654529288722,,,634.2197497963734,0.053436130937637216,2024-07-03,2024-10-04,93 days,,59.89565550386949,37.93103608745289,3801.1718505859376,4307.581274414062,3785.3838232421876,4320.190302734375
3,1219,1245,4265.382907054126,4153.100754562903,,,-336.84645747366994,-0.02632404990077919,2024-12-04,2025-01-10,37 days,,63.06966464549057,55.00622677142088,4149.523657226562,4146.045422363281,4120.872114257812,4162.258330078125
